# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00055811 1.09983e-45 -4.14034e-58 -8.01283e-94 3.30289e-94 1.83339e-104 -2.27192e-109
0.00056644 1.48704e-45 -6.14956e-58 -1.53195e-93 6.23722e-94 3.88196e-104 -5.61196e-109
0.00057477 1.94675e-45 -8.57793e-58 -2.89237e-93 1.16305e-93 8.10316e-104 -1.33424e-108
0.0005831 2.48044e-45 -1.13775e-57 -5.39459e-93 2.14221e-93 1.66821e-103 -3.07165e-108
0.00059143 3.08578e-45 -1.44443e-57 -9.94255e-93 3.89875e-93 3.38858e-103 -6.87572e-108
0.00059976 3.75531e-45 -1.75933e-57 -1.81136e-92 7.01329e-93 6.79388e-103 -1.50096e-107
0.00060809 4.47507e-45 -2.05474e-57 -3.26289e-92 1.24731e-92 1.34497e-102 -3.20259e-107
0.00061642 5.223e-45 -2.29184e-57 -5.81311e-92 2.19385e-92 2.62996e-102 -6.69064e-107
0.00062475 5.9673e-45 -2.41963e-57 -1.02455e-91 3.81703e-92 5.08124e-102 -1.37049e-106
0.00063308 6.66481e-45 -2.374e-57 -1.78684e-91 6.57113e-92 9.70311e-102 -2.7556e-106
0.00064141 7.2594e-45 -2.07807e-57 -3.08431e-91 1.11956e-91 1.83189e-101 -5.44385e-106
0.00064974 7.68054e-45 -1.44327e-57 -5.27045e-91 1.88819e-91 3.42026e-101 -1.05753e-105
0.00065807 7.84225e-45 -3.71813e-58 -8.91743e-91 3.15298e-91 6.31688e-101 -2.02149e-105
0.0006664 7.64238e-45 1.23892e-57 -1.49423e-90 5.21382e-91 1.15436e-100 -3.80458e-105
0.00067473 6.96263e-45 3.48996e-57 -2.48003e-90 8.53945e-91 2.08777e-100 -7.05376e-105
0.00068306 5.66938e-45 6.47256e-57 -4.07784e-90 1.38553e-90 3.73787e-100 -1.28888e-104
0.00069139 3.61552e-45 1.0258e-56 -6.64361e-90 2.22731e-90 6.62612e-100 -2.322e-104
0.00069972 6.43586e-46 1.48826e-56 -1.07261e-89 3.54803e-90 1.16327e-99 -4.12589e-104
0.00070805 -3.40962e-45 2.03341e-56 -1.71632e-89 5.60137e-90 2.02288e-99 -7.23304e-104
0.00071638 -8.70669e-45 2.65355e-56 -2.72225e-89 8.76507e-90 3.48508e-99 -1.25138e-103
0.00072471 -1.54014e-44 3.33247e-56 -4.28032e-89 1.35962e-89 5.94955e-99 -2.13714e-103
0.00073304 -2.36286e-44 4.04382e-56 -6.67249e-89 2.09087e-89 1.0066e-98 -3.60363e-103
0.00074137 -3.34915e-44 4.74938e-56 -1.03133e-88 3.18801e-89 1.68811e-98 -6.00054e-103
0.0007497 -4.50472e-44 5.39781e-56 -1.58067e-88 4.81979e-89 2.8066e-98 -9.86844e-103
0.00075803 -5.82901e-44 5.92313e-56 -2.40239e-88 7.22573e-89 4.62657e-98 -1.60312e-102
0.00076636 -7.31333e-44 6.24493e-56 -3.62098e-88 1.07424e-88 7.56299e-98 -2.57267e-102
0.00077469 -8.93881e-44 6.26819e-56 -5.41258e-88 1.58381e-88 1.22614e-97 -4.07873e-102
0.00078302 -1.06743e-43 5.88439e-56 -8.02391e-88 2.31578e-88 1.97173e-97 -6.38854e-102
0.00079135 -1.24742e-43 4.97509e-56 -1.17971e-87 3.35803e-88 3.14532e-97 -9.88569e-102
0.00079968 -1.42762e-43 3.4158e-56 -1.72013e-87 4.82904e-88 4.97779e-97 -1.51119e-101
0.00080801 -1.59995e-43 1.08198e-56 -2.48735e-87 6.88673e-88 7.81634e-97 -2.28189e-101
